,Rating,Title,Review,Review_Date
0,5.0,Perfect printer for home purposes,"This is my first printer at home. I tried printing pages from phone, laptop were the quality of the printing output is excellent which made me to feel better of my first printer purchase through Amazon (as well my first product review in Amazon 😉😉😉 )Not only printing but scanning of documents works too good 👍 👍 My Overall experience is rated in ⭐️ ⭐️⭐️⭐️⭐️Thanks to Amazon for displaying the product with correct description and to compare other printers for making decision quick.",6 August 2022
1,3.0,Review,The cartiage was not good while refilling it it's pouring from another side..Overall print quality is good.And easy to use.,21 June 2022
2,4.0,"Reasonably good value for money. Excellent print quality, but duplex printing not reliable","Overall I am very pleased with this printer, my first Canon one. Print quality is excellent and print speed is reasonable. I have been able to scan and print on legal size paper also, though this size is not specifically listed in the specs. So far, duplex printing has not worked well. Paper gets jammed at time of turn-around to print the second page. I suspect this is due to the quality of paper available here in India. I have not tried it on a large variety of papers, so I am hoping I will find suitable paper that will allow for duplex printing automatically. Currently, I am manually turning around the paper to print on the reverse side. Hence, I have dropped one star from the overall rating.",25 January 2022
3,2.0,please check this out before buying !!!!,"Within few months it lost the clarity and the alignment was becoming poor day by day ...but  I adjusted..  because it cost less compared to other variants..so, I cant expect a far high quality ..thus I used it...but now its not getting power ON. What can I do now ..since the warranty period is over few days back, Iam out of options... worst product I have ever ordered from the side of Amazon...",8 August 2022
4,4.0,Product is awesome. And user friendly,Print/ scan,28 May 2022
5,5.0,Worth every rupee,"I went for this printer as one of the reviews that I read was very persuasive. It has been one of the best decisions that I have taken. In typical Amazon fashion, the delivery was smooth and timely. I setup up the printer easily but after a few days noticed that the printer was not responding to print commands. I placed a service request with Epson Service Centre, in less than 24hours, a technician visited my house, installed the appropriate printer driver (I had chosen a broader one) and solved the issue! The print quality is fantastic, whether for home or for small office, this is a very good choice, indeed! Go for it! 👍",22 June 2022
6,5.0,Overall satisfied with the product,Printing quality is good and easy to use,20 August 2022
7,5.0,Thank you 💕,,23 August 2022
8,5.0,Good quality printer with budget,Good quality printer for home use,18 August 2022
9,5.0,Best is class for the price,Best color printer for the price,16 August 2022
10,3.0,Bit clumzy in using,Overall good,6 June 2022
