Clean_Reviews,Uncleaned_Reviews,Subjectivity,Polarity,sentiment
first printer home tried printing page phone laptop quality printing output excellent made feel better first printer purchase amazon well first product review amazon printing scanning document work good overall experience rated thanks amazon displaying product correct description compare printer making decision quick,"This is my first printer at home. I tried printing pages from phone, laptop were the quality of the printing output is excellent which made me to feel better of my first printer purchase through Amazon (as well my first product review in Amazon 😉😉😉 )Not only printing but scanning of documents works too good 👍 👍 My Overall experience is rated in ⭐️ ⭐️⭐️⭐️⭐️Thanks to Amazon for displaying the product with correct description and to compare other printers for making decision quick.",0.4222222222222223,0.38703703703703707,pos
cartiage good refilling pouring another side overall print quality good easy use,The cartiage was not good while refilling it it's pouring from another side..Overall print quality is good.And easy to use.,0.5083333333333334,0.4583333333333333,pos
overall pleased printer first canon one print quality excellent print speed reasonable able scan print legal size paper also though size specifically listed spec far duplex printing worked well paper get jammed time turn around print second page suspect due quality paper available india tried large variety paper hoping find suitable paper allow duplex printing automatically currently manually turning around paper print reverse side hence dropped one star overall rating,"Overall I am very pleased with this printer, my first Canon one. Print quality is excellent and print speed is reasonable. I have been able to scan and print on legal size paper also, though this size is not specifically listed in the specs. So far, duplex printing has not worked well. Paper gets jammed at time of turn-around to print the second page. I suspect this is due to the quality of paper available here in India. I have not tried it on a large variety of papers, so I am hoping I will find suitable paper that will allow for duplex printing automatically. Currently, I am manually turning around the paper to print on the reverse side. Hence, I have dropped one star from the overall rating.",0.4819940476190476,0.23058035714285718,pos
within month lost clarity alignment becoming poor day day adjusted cost le compared variant cant expect far high quality thus used getting power since warranty period day back iam option worst product ever ordered side amazon,"Within few months it lost the clarity and the alignment was becoming poor day by day ...but  I adjusted..  because it cost less compared to other variants..so, I cant expect a far high quality ..thus I used it...but now its not getting power ON. What can I do now ..since the warranty period is over few days back, Iam out of options... worst product I have ever ordered from the side of Amazon...",0.665,-0.11499999999999999,neg
print scan,Print/ scan,0.0,0.0,pos
went printer one review read persuasive one best decision taken typical amazon fashion delivery smooth timely setup printer easily day noticed printer responding print command placed service request epson service centre le hour technician visited house installed appropriate printer driver chosen broader one solved issue print quality fantastic whether home small office good choice indeed go,"I went for this printer as one of the reviews that I read was very persuasive. It has been one of the best decisions that I have taken. In typical Amazon fashion, the delivery was smooth and timely. I setup up the printer easily but after a few days noticed that the printer was not responding to print commands. I placed a service request with Epson Service Centre, in less than 24hours, a technician visited my house, installed the appropriate printer driver (I had chosen a broader one) and solved the issue! The print quality is fantastic, whether for home or for small office, this is a very good choice, indeed! Go for it! 👍",0.5666666666666667,0.3770833333333333,pos
printing quality good easy use,Printing quality is good and easy to use,0.7166666666666668,0.5666666666666667,pos
nan,,0.0,0.0,pos
good quality printer home use,Good quality printer for home use,0.6000000000000001,0.7,pos
best color printer price,Best color printer for the price,0.3,1.0,pos
